"sido","sigun","dong","구주소본번","구주소부번","street","새주소본번","새주소부번","건물명","상세건물명","X좌표","Y좌표"
"서울특별시","중랑구","면목동","365","10","면목로30길","19","30","","","207719.1499","453006.748"
"서울특별시","중랑구","면목동","371","134","면목로28길","27","0","동서울연립","","207685.8657","452793.5546"
"서울특별시","중랑구","면목동","382","35","면목로27길","77","9","","","207176.1595","452692.0167"
"서울특별시","중랑구","면목동","1390","0","면목로24길","17","1","","","207530.3282","452590.2833"
"서울특별시","중랑구","망우동","75","6","망우로91길","40","5","","","210183.1628","455908.1692"
"서울특별시","중랑구","망우동","178","17","망우로77길","19","11","","","209343.8565","455813.2319"
"서울특별시","중랑구","망우동","352","33","망우로73길","71","5","","","209110.0096","456020.8758"
"서울특별시","중랑구","망우동","153","10","망우로72가길","4","0","","","209105.1153","455365.1221"
"서울특별시","중랑구","망우동","403","65","망우로68길","92","3","","","208891.5349","455131.3411"
"서울특별시","중랑구","망우동","353","17","망우로67가길","3","0","","","208970.6177","455903.1545"
"서울특별시","중랑구","면목동","121","29","면목로78길","12","16","","","207756.1108","454472.1765"
"서울특별시","중랑구","면목동","100","4","면목로76길","72","0","","","208116.4916","454552.5167"
"서울특별시","중랑구","면목동","119","45","면목로73길","41","0","대한익스프레스","","207515.2604","454315.4424"
"서울특별시","중랑구","면목동","127","31","면목로73길","20","12","탑클래스","","207603.6601","454417.841"
"서울특별시","중랑구","면목동","539","16","면목로69길","42","8","","","207499.1521","454213.6645"
"서울특별시","중랑구","면목동","506","33","면목로65길","34","0","","","207625.6823","454136.9221"
"서울특별시","중랑구","면목동","547","34","면목로63길","53","0","","","207529.204","454080.8111"
"서울특별시","중랑구","면목동","113","41","면목로60길","17","7","","","207904.2074","453992.0629"
"서울특별시","중랑구","면목동","138","15","봉우재로26길","36","0","우정아파트","","207506.9171","454577.9036"
"서울특별시","중랑구","면목동","134","11","봉우재로20가길","25","3","","","207267.8071","454640.0022"
"서울특별시","중랑구","면목동","181","123","봉우재로14길","2","10","","","206835.5028","454510.1163"
"서울특별시","중랑구","면목동","183","65","봉우재로13길","12","0","","","206853.9357","454626.3107"
"서울특별시","중랑구","면목동","137","19","면목천로23길","34","6","","","207328.334","454492.3844"
"서울특별시","중랑구","상봉동","125","25","동일로110길","20","0","미하우스","","207188.4449","454713.9607"
"서울특별시","중랑구","면목동","184","14","동일로109길","28","13","","","206858.6544","454704.7436"
"서울특별시","중랑구","면목동","192","30","동일로101길","78","11","","","206632.5765","454378.9391"
"서울특별시","중랑구","면목동","392","30","답십리로83길","9","1","","","207422.791","452475.9175"
"서울특별시","중랑구","면목동","399","109","답십리로81길","15","1","","","207316.3911","452520.7504"
"서울특별시","중랑구","면목동","377","60","답십리로77길","76","18","","","207259.3761","452829.8419"
"서울특별시","중랑구","면목동","384","34","답십리로77가길","20","3","","","207311.8434","452688.9189"
"서울특별시","중랑구","면목동","381","52","답십리로77가길","19","0","","","207295.5281","452715.2385"
"서울특별시","중랑구","묵동","174","22","공릉로4길","4","7","황금빌라트","","206925.2434","457039.6134"
"서울특별시","중랑구","묵동","121","81","공릉로2길","50","6","서원맨션","","207133.4338","456914.4938"
"서울특별시","중랑구","묵동","177","16","공릉로2길","8","7"," "," ","206949.1261","456900.4442"
"서울특별시","중랑구","묵동","156","36","공릉로14길","42","0","서림캐슬"," ","207196.9575","457571.8982"
"서울특별시","중랑구","묵동","156","11","공릉로14길","28","0","","","207135.2218","457557.7611"
"서울특별시","중랑구","묵동","77","39","공릉로12나길","8","18","","","207139.593","457417.3023"
"서울특별시","중랑구","중화동","306","11","봉화산로15길","25","0","우승정원빌리지","B동","206901.2157","455923.6426"
"서울특별시","중랑구","망우동","462","12","봉우재로71길","41","10","","","208621.1074","455171.4798"
"서울특별시","중랑구","망우동","458","20","봉우재로70길","15","4","","","208740.7792","455001.5832"
"서울특별시","중랑구","망우동","530","11","봉우재로64길","67","0","선경하이빌","","208556.8425","454708.791"
"서울특별시","중랑구","망우동","474","42","봉우재로58길","16","12","","","208376.5237","454911.208"
"서울특별시","중랑구","망우동","509","37","봉우재로57길","58","34","","","208420.0485","455201.9813"
"서울특별시","중랑구","망우동","515","20","봉우재로55길","16","0","","","208325.8265","455069.426"
"서울특별시","중랑구","상봉동","87","33","봉우재로43길","25","4","","","207902.2559","455010.3045"
"서울특별시","중랑구","상봉동","105","28","봉우재로37가길","3","6","","","207779.0883","454927.5032"
"서울특별시","중랑구","면목동","137","31","봉우재로32길","64","4","","","207389.4977","454539.9751"
"서울특별시","중랑구","중화동","331","16","봉화산로3길","25","8","","","206661.5863","455914.7469"
"서울특별시","중랑구","상봉동","315","68","봉화산로30길","108","0","임창빌라","라동","207525.0039","455327.9357"
"서울특별시","중랑구","중화동","10","16","봉화산로30길","5","5","","","207546.4256","455824.617"
"서울특별시","중랑구","면목동","566","20","사가정로45길","68","1","","","207579.8123","453845.5888"
"서울특별시","중랑구","면목동","657","50","사가정로42길","33","0","강원카센타","","207379.0874","453337.8297"
"서울특별시","중랑구","면목동","162","64","사가정로29길","8","0","","","207089.8853","453605.6178"
"서울특별시","중랑구","신내동","475","5","봉화산로56길","99","9","","","208648.2732","456096.5417"
"서울특별시","중랑구","중화동","327","7","봉화산로4길","64","5","","","206609.6837","455486.9796"
"서울특별시","중랑구","중화동","329","67","봉화산로4길","48","0","","","206673.7865","455561.3905"
"서울특별시","중랑구","묵동","240","160","봉화산로3길","222","0","","","206558.1404","456879.0275"
"서울특별시","중랑구","중화동","309","23","봉화산로3길","56","10","","","206730.2583","456070.2868"
"서울특별시","중랑구","면목동","69","3","상봉로1길","18","11","","","208253.8174","454129.9225"
"서울특별시","중랑구","면목동","88","82","상봉로17길","17","0","","","208138.5027","454781.0052"
"서울특별시","중랑구","면목동","100","35","상봉로15나길","32","0","","","208137.5115","454543.9171"
"서울특별시","중랑구","망우동","523","15","상봉로14길","32","0","","","208298.3778","454697.1985"
"서울특별시","중랑구","면목동","74","24","상봉로11길","5","4","","","208215.7915","454507.6987"
"서울특별시","중랑구","면목동","626","20","사가정로54길","46","0","","","207721.5655","453281.6308"
"서울특별시","중랑구","중화동","323","110","중랑천로18길","6","0","","","206419.487","455068.8499"
"서울특별시","중랑구","중화동","324","122","중랑천로17나길","11","8","","","206304.1772","455115.2226"
